first_name,last_name,pose,team_name,hof,portrait,horizontal,lipset_number
Jack,Chesbro,,N. Y. Amer.,TRUE,TRUE,FALSE,
Ed,Cicotte,,Boston Amer.,FALSE,FALSE,FALSE,
Bill,Clancy,,Buffalo,FALSE,FALSE,FALSE,
Josh,Clark,,Columbus,FALSE,FALSE,FALSE,
J.J.,Clarke,,Cleveland,FALSE,FALSE,FALSE,
Fred,Clarke,Portrait,Pittsburgh,TRUE,TRUE,FALSE,
Fred,Clarke,Holding Bat,Pittsburgh,TRUE,FALSE,FALSE,
Bill,Clymer,,Columbus,FALSE,FALSE,FALSE,
Ty,Cobb,Green Portrait,Detroit,TRUE,TRUE,FALSE,
Ty,Cobb,Red Portrait,Detroit,TRUE,TRUE,FALSE,
Ty,Cobb,Bat On Shoulder,Detroit,TRUE,FALSE,FALSE,
Ty,Cobb,Bat Off Shoulder,Detroit,TRUE,FALSE,FALSE,
Cad,Coles,,Augusta,FALSE,TRUE,FALSE,
Eddie,Collins,,Phila. Amer.,TRUE,TRUE,FALSE,
Jimmy,Collins,,Minneapolis,TRUE,TRUE,FALSE,
Bunk,Congalton,,Columbus,FALSE,TRUE,FALSE,
Wid,Conroy,Fielding,Washington,FALSE,FALSE,FALSE,
Wid,Conroy,With Bat,Washington,FALSE,FALSE,FALSE,
Harry,Covaleski,,Phila. Nat'l,FALSE,FALSE,FALSE,
Doc,Crandall,No Cap,N. Y. Nat'l.,FALSE,TRUE,FALSE,
Doc,Crandall,With Cap,N. Y. Nat'l.,FALSE,TRUE,FALSE,
Bill,Cranston,,Memphis,FALSE,FALSE,FALSE,
Gavvy,Cravath,,Minneapolis,FALSE,FALSE,FALSE,
Sam,Crawford,Throwing,Detroit,TRUE,FALSE,FALSE,
Sam,Crawford,With Bat,Detroit,TRUE,FALSE,FALSE,
Birdie,Cree,,N. Y. Amer.,FALSE,FALSE,FALSE,
Lou,Criger,,St. Louis Amer.,FALSE,TRUE,FALSE,
Dode,Criss,,St. Louis Amer.,FALSE,FALSE,FALSE,
Monte,Cross,,Indianapolis,FALSE,FALSE,FALSE,
Bill,Dahlen,Boston,Boston Nat'l.,FALSE,TRUE,FALSE,
Bill,Dahlen,Brooklyn,Brooklyn,FALSE,TRUE,FALSE,
Paul,Davidson,,Indianapolis,FALSE,TRUE,FALSE,
Harry,Davis,H. Davis on Front,Phila. Amer.,FALSE,FALSE,FALSE,
Harry,Davis,Davis on Front,Phila. Amer.,FALSE,FALSE,FALSE,
George,Davis,,Chicago Amer.,TRUE,FALSE,FALSE,
Frank,Delehanty,,Louisville,FALSE,TRUE,FALSE,
Jim,Delehanty,,Washington,FALSE,FALSE,FALSE,
Ray,Demmitt,New York,N. Y. Amer.,FALSE,FALSE,FALSE,
Ray,Demmitt,St. Louis,St. Louis Amer.,FALSE,FALSE,FALSE,
Rube,Dessau,,Baltimore,FALSE,TRUE,FALSE,
Art,Devlin,,N. Y. Nat'l.,FALSE,TRUE,FALSE,
Josh,Devore,,N. Y. Nat'l.,FALSE,FALSE,FALSE,
Bill,Dineen,,St. Louis Amer.,FALSE,FALSE,FALSE,
Mike,Donlin,Fielding,N. Y. Nat'l.,FALSE,FALSE,FALSE,
Mike,Donlin,Seated,N. Y. Nat'l.,FALSE,FALSE,FALSE,
Mike,Donlin,With Bat,N. Y. Nat'l.,FALSE,FALSE,FALSE,
Jiggs,Donohue,,Chicago Amer.,FALSE,FALSE,FALSE,
Wild Bill,Donovan,Portrait,Detroit,FALSE,TRUE,FALSE,
Wild Bill,Donovan,Throwing,Detroit,FALSE,FALSE,FALSE,
Red,Dooin,,Phila. Nat'l,FALSE,FALSE,FALSE,
Mickey,Doolan,Batting,Phila. Nat'l,FALSE,FALSE,FALSE,
Mickey,Doolan,Fielding,Phila. Nat'l,FALSE,FALSE,FALSE,
Mickey,Doolin,,Phila. Nat'l,FALSE,TRUE,FALSE,
Gus,Dorner,,Kansas City,FALSE,TRUE,FALSE,
Patsy,Dougherty,Portrait,Chicago Amer.,FALSE,TRUE,FALSE,
Patsy,Dougherty,Arm In Air,Chicago Amer.,FALSE,FALSE,FALSE,
Tom,Downey,Fielding,Cincinnati,FALSE,FALSE,FALSE,
Tom,Downey,Batting,Cincinnati,FALSE,FALSE,FALSE,
Jerry,Downs,,Minneapolis,FALSE,TRUE,FALSE,
Larry,Doyle,Portrait,N. Y. Nat'l.,FALSE,TRUE,FALSE,
Joe,Doyle,N.Y. Nat'l,N. Y. Nat'l.,FALSE,FALSE,FALSE,
Joe,Doyle,N.Y.,N. Y.,FALSE,FALSE,FALSE,
Larry,Doyle,Throwing,N. Y. Nat'l.,FALSE,FALSE,FALSE,
Larry,Doyle,With Bat,N. Y. Nat'l.,FALSE,FALSE,FALSE,
Jean,Dubuc,,Cincinnati,FALSE,FALSE,FALSE,
Hugh,Duffy,,Chicago Amer.,TRUE,FALSE,FALSE,
Jack,Dunn,,Baltimore,FALSE,FALSE,FALSE,
Joe,Dunn,,Brooklyn,FALSE,FALSE,FALSE,
Bull,Durham,,N. Y. Nat'l.,FALSE,TRUE,FALSE,
Jimmy,Dygert,,Phila. Amer.,FALSE,TRUE,FALSE,
Ted,Easterly,,Cleveland,FALSE,TRUE,FALSE,
