first_name,last_name,pose,city,league
Ted,Easterly,,Cleveland,American
Dick,Egan,,Cincinnati,National
Kid,Elberfeld,"New York, Portrait",New York,American
Kid,Elberfeld,"Washington, Portrait",Washington,American
Kid,Elberfeld,Fielding,Washington,American
Roy,Ellam,,Nashville,Southern
Clyde,Engle,,New York,American
Steve,Evans,,St. Louis,National
Johnny,Evers,Portrait,Chicago,National
Johnny,Evers,"With Bat, Cubs On Shirt",Chicago,National
Johnny,Evers,"With Bat, Chicago On Shirt",Chicago,National
Bob,Ewing,,Cincinnati,National
Cecil,Ferguson,,Boston,National
Hobe,Ferris,,St. Louis,American
Lou,Fiene,Portrait,Chicago,American
Lou,Fiene,Throwing,Chicago,American
Steamer,Flanagan,,Buffalo,Minor
Art,Fletcher,,New York,National
Elmer,Flick,,Cleveland,American
Russ,Ford,,New York,American
Ed,Foster,,Charleston,Southern
Jerry,Freeman,,Toledo,Minor
John,Frill,,New York,American
Charlie,Fritz,,New Orleans,Southern
Art,Fromme,,Cincinnati,National
Chick,Gandil,,Chicago,American
Bob,Ganley,,Washington,American
John,Ganzel,,Rochester,Minor
Harry,Gasper,,Cincinnati,National
Rube,Geyer,,St. Louis,National
George,Gibson,,Pittsburgh,National
Billy,Gilbert,,St. Louis,National
Wilbur,Goode,,Cleveland,American
Peaches,Graham,,Boston,National
Bill,Graham,,St. Louis,American
Dolly,Gray,,Washington,American
Ed,Greminger,,Montgomery,Southern
Clark,Griffith,Portrait,Cincinnati,National
Clark,Griffith,Batting,Cincinnati,National
Moose,Grimshaw,,Toronto,Minor
Bob,Groom,,Washington,American
Tom,Guiheen,,Portsmouth,Southern
Ed,Hahn,,Chicago,American
Bob,Hall,,Baltimore,Minor
Bill,Hallman,,Kansas City,Minor
Jack,Hannifan,,Jersey City,Minor
Bill,Hart,,Little Rock,Southern
Jimmy,Hart,,Montgomery,Southern
Topsy,Hartsel,,Philadelphia,American
Jack,Hayden,,Indianapolis,Minor
J. Ross,Helm,,Columbus,Southern
Charlie,Hemphill,,New York,American
Buck,Herzog,Boston,Boston,National
Buck,Herzog,New York,New York,National
Gordon,Hickman,,Mobile,Southern
Bill,Hinchman,,Cleveland,American
Harry,Hinchman,,Toledo,Minor
Dick,Hoblitzell,,Cincinnati,National
Izzy,Hoffman,,Providence,Minor
Danny,Hoffman,,St. Louis,American
Solly,Hofman,,Chicago,National
Bock,Hooker,,Lynchburg,Southern
Del,Howard,,Chicago,National
Ernie,Howard,,Savannah,Southern
Harry,Howell,Portrait,St. Louis,American
Harry,Howell,Hand At Waist,St. Louis,American
Miller,Huggins,Portrait,Cincinnati,National
Miller,Huggins,Hands At Mouth,Cincinnati,National
Rudy,Hulswitt,,St. Louis,National
John,Hummel,,Brooklyn,National
George,Hunter,,Brooklyn,National
Frank,Isbell,,Chicago,American
Fred,Jacklitsch,,Philadelphia,National
Jimmy,Jackson,,Baltimore,Minor
Hughie,Jennings,Portrait,Detroit,American
Hughie,Jennings,One Hand Showing,Detroit,American
Hughie,Jennings,Both Hands Showing,Detroit,American
Walter,Johnson,Portrait,Washington,American
Walter,Johnson,Hands At Chest,Washington,American
Fielder,Jones,Portrait,Chicago,American
Fielder,Jones,Hands on Hips,Chicago,American
Davy,Jones,,Detroit,American
Tom,Jones,,St. Louis,National
Dutch,Jordan,,Atlanta,Southern
Tim,Jordan,Portrait,Brooklyn,National
Tim,Jordan,Batting,Brooklyn,National
Addie,Joss,Portrait,Cleveland,American
Addie,Joss,Pitching,Cleveland,American
Ed,Karger,,Cincinnati,National
Willie,Keeler,Portrait,New York,American
Willie,Keeler,With Bat,New York,American
Joe,Kelley,,Toronto,Minor
J.F.,Kiernan,,Columbia,Southern
Ed,Killian,Portrait,Detroit,American
Ed,Killian,Pitching,Detroit,American
Frank,King,,Danville,Southern
Rube,Kisinger,,Buffalo,Minor
Red,Kleinow,Boston,Boston,American
Red,Kleinow,With Bat,New York,American
Red,Kleinow,"New York, Catching",New York,American
Johnny,Kling,,Chicago,National
Otto,Knabe,,Philadelphia,National
Jack,Knight,Portrait,New York,American
Jack,Knight,With Bat,New York,American
Ed,Konetchy,Glove Above Head,St. Louis,National
Ed,Konetchy,Glove Near Ground,St. Louis,National
Harry,Krause,Portrait,Philadelphia,American
Harry,Krause,Pitching,Philadelphia,American
Rube,Kroh,,Chicago,National
Otto,Kruger,,Columbus,Minor
James,LaFitte,,Macon,Southern
Nap,Lajoie,Portrait,Cleveland,American
Nap,Lajoie,Throwing,Cleveland,American
Nap,Lajoie,With Bat,Cleveland,American
Joe,Lake,New York,New York,American
Joe,Lake,"St. Louis, No Ball",St. Louis,American
Joe,Lake,Ball in Hand,St. Louis,American
Frank,LaPorte,,New York,American
Arlie,Latham,,New York,National
Bill,Lattimore,,Toledo,Minor
Jimmy,Lavender,,Providence,Minor
Tommy,Leach,Portrait,Pittsburgh,National
Tommy,Leach,Bending Over,Pittsburgh,National
Lefty,Leifield,Pitching,Pittsburgh,National
Lefty,Leifield,Batting,Pittsburgh,National
Ed,Lennox,,Brooklyn,National
Harry,Lentz,,Little Rock,Southern
Glenn,Liebhardt,,Cleveland,American
Vive,Lindaman,,Boston,National
Perry,Lipe,,Richmond,Southern
Paddy,Livingstone,,Philadelphia,American
Hans,Lobert,,Cincinnati,National
Harry,Lord,,Boston,American
Harry,Lumley,,Brooklyn,National
Carl,Lundgren,Chicago,Chicago,National
Carl,Lundgren,Kansas City,Kansas City,Minor
